Issue key,Issue id,Summary,Issue Type,Affects Version/s,Affects Version/s,Affects Version/s,Created,Component/s,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Status,Fix Version/s,Fix Version/s,Fix Version/s,Custom field (Root Cause),Custom field (RCA Subcategory),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Resolution,Custom field (Resolved Date),Custom field (Urgency),Resolved,Custom field (Epic Link),Custom field (Target Release),Custom field (Defect Phase),Assignee
TM-59980,5647962,Not receive RFX_PRJ_RESPONSE* file. please resend it,Bug,,,,2025-Oct-17 3:57 PM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Not a Bug,,,,,,No Longer Reproducible,,,2025-Oct-20 10:55 AM,,,,HD1845
TM-59958,5644134,What time do projects Launch?,Bug,,,,2025-Oct-16 3:39 PM,SAAS,,,CAN_BE_TESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Verify,,,,,Deployment,,,,,,Environmental Issue,,,2025-Oct-22 9:34 AM,,,,DN2676
TM-59561,5638160,PP: Walks not available in Walk Reports,Bug,TASK-25.9.1.2,,,2025-Oct-15 6:45 AM,AAR,SAAS,SWA,CAN_BE_TESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Verify,,,,,Not a Bug,,,,,,Works As Expected,,,2025-Oct-17 8:42 AM,,,,ND2517
TM-59142,5625150,URGENT - Walk post action not including attachement,Bug,TASK-25.9.1.2,,,2025-Oct-10 4:36 PM,SAAS,,,CAN_BE_TESTED,STOREWALK_FEEDBACK,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.9.1.4,,,,Legacy,TASK-25.9.1.4,,,,,Work Complete,,,2025-Oct-23 1:10 PM,,,,MS5895
TM-59140,5624576,"[MAJOR INCIDENT] RFX - CVS Pharmacy, Inc. - myWork/myWalk/myChat all down | 23705857",Bug,,,,2025-Oct-10 11:19 AM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Verify,,,,,Third Party,,,,,,Work Complete,,,2025-Oct-17 1:13 PM,,,,AS3228
TM-59138,5624250,Copy/Paste URL or Posting a URL not working Q-chat,Bug,TASK-25.8.1.7,,,2025-Oct-10 10:17 AM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Oct-10 2:39 PM,,,,
TM-59135,5624154,Simple Project - Delete distribution list,Bug,TASK-25.8.1.6,,,2025-Oct-10 9:13 AM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-26.1.1.0,,,,Legacy,TASK-26.1.0.3,,,,,Work Complete,,,2025-Oct-15 6:16 AM,,,,VD9169
TM-59057,5616937,Data missing from the performance analysis report,Bug,TASK-25.8.1.7,,,2025-Oct-08 9:18 AM,SAAS,,,POD_MEMORY_ISSUE,STOREWALK_FEEDBACK,SWA_RAR_SYNC_ISSUES,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Data Issue,,,,,,Script Issue,,,2025-Oct-15 4:01 PM,,,,JD9860
TM-59034,5615714,Unit_status does not sync to kernel for Unit close,Bug,TASK-25.9.1.2,,,2025-Oct-08 4:33 AM,SAAS,,,CAN_BE_TESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Verify,,,,Test setup,Not a Bug,,,,,,Invalid,,,2025-Oct-17 4:06 PM,,,,MP4741
TM-58906,5608032,Loop PP: Skip-based attributes are not working,Bug,TASK-25.4.1.0,,,2025-Oct-06 8:16 AM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Configuration,,,,,,Configuration Issue,,,2025-Oct-08 4:13 PM,,,,NS2980
